ID,Категория,Название,Размер,Количество,Цена,Изображение 1,Изображение 2,Изображение 3,Изображение 4,Капсула,Описание,,
1,Свитшоты,Свитшот с синей печатью,L,1,12000,https://i.ibb.co/pvwvznk5/jpg.jpg,https://i.ibb.co/gqDxtb2/image.jpg,,,Белая,"Свитшот с синей печатью, свободного кроя. Длинные рукава. Цвет: белый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
1,Свитшоты,Свитшот с синей печатью,XL,9,12000,https://i.ibb.co/pvwvznk5/jpg.jpg,https://i.ibb.co/gqDxtb2/image.jpg,,,Белая,"Свитшот с синей печатью, свободного кроя. Длинные рукава. Цвет: белый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
1,Свитшоты,Свитшот с синей печатью,2XL,6,12000,https://i.ibb.co/pvwvznk5/jpg.jpg,https://i.ibb.co/gqDxtb2/image.jpg,,,Белая,"Свитшот с синей печатью, свободного кроя. Длинные рукава. Цвет: белый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
2,Свитшоты,Свитшот с белой печатью,S,3,12000,https://i.ibb.co/mrFf6YpZ/image.jpg,https://i.ibb.co/sJ6vvcbB/image.jpg,,,Серая,"Свитшот с белой печатью, свободного кроя. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
2,Свитшоты,Свитшот с белой печатью,M,8,12000,https://i.ibb.co/mrFf6YpZ/image.jpg,https://i.ibb.co/sJ6vvcbB/image.jpg,,,Серая,"Свитшот с белой печатью, свободного кроя. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
2,Свитшоты,Свитшот с белой печатью,L,8,12000,https://i.ibb.co/mrFf6YpZ/image.jpg,https://i.ibb.co/sJ6vvcbB/image.jpg,,,Серая,"Свитшот с белой печатью, свободного кроя. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
2,Свитшоты,Свитшот с белой печатью,XL,6,12000,https://i.ibb.co/mrFf6YpZ/image.jpg,https://i.ibb.co/sJ6vvcbB/image.jpg,,,Серая,"Свитшот с белой печатью, свободного кроя. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
2,Свитшоты,Свитшот с белой печатью,2XL,4,12000,https://i.ibb.co/mrFf6YpZ/image.jpg,https://i.ibb.co/sJ6vvcbB/image.jpg,,,Серая,"Свитшот с белой печатью, свободного кроя. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
3,Свитшоты,Свитшот с лентой,S,2,12000,https://i.ibb.co/4g3NPvKR/image.jpg,https://i.ibb.co/TxKB7w3Q/image.jpg,,,Серая,"Свитшот с лентой на спине, свободного кроя. Дизайн на ленте: паттерн. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
3,Свитшоты,Свитшот с лентой,M,4,12000,https://i.ibb.co/4g3NPvKR/image.jpg,https://i.ibb.co/TxKB7w3Q/image.jpg,,,Серая,"Свитшот с лентой на спине, свободного кроя. Дизайн на ленте: паттерн. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
3,Свитшоты,Свитшот с лентой,L,5,12000,https://i.ibb.co/4g3NPvKR/image.jpg,https://i.ibb.co/TxKB7w3Q/image.jpg,,,Серая,"Свитшот с лентой на спине, свободного кроя. Дизайн на ленте: паттерн. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
3,Свитшоты,Свитшот с лентой,XL,4,12000,https://i.ibb.co/4g3NPvKR/image.jpg,https://i.ibb.co/TxKB7w3Q/image.jpg,,,Серая,"Свитшот с лентой на спине, свободного кроя. Дизайн на ленте: паттерн. Длинные рукава. Цвет: графитовый. Состав: хлопок. Состав ткани: 50,5% хлопок, 49,5% терилен (премиальный полиэстер).",FALSE,FALSE
4,Свитшоты,Свитшот классика черная,S,4,9500,https://i.ibb.co/27qkdFFJ/image.jpg,https://i.ibb.co/5gNXvtYr/2.jpg,https://i.ibb.co/HTNq0w1R/image.jpg,,Черная,Свитшот классического кроя. Цвет: черный. Длинные рукава. Состав: 100% хлопок.,FALSE,FALSE
4,Свитшоты,Свитшот классика черная,2XL,5,9500,https://i.ibb.co/27qkdFFJ/image.jpg,https://i.ibb.co/5gNXvtYr/2.jpg,https://i.ibb.co/HTNq0w1R/image.jpg,,Черная,Свитшот классического кроя. Цвет: черный. Длинные рукава. Состав: 100% хлопок.,FALSE,FALSE
9,Жилетка,Жилетка для склада,L,1,33000,https://i.ibb.co/5xg991rg/image.jpg,https://i.ibb.co/3yJTCSWq/image.jpg,,https://i.ibb.co/BV3kmKCd/image.jpg,Серая,"Цвет: серый (графит). Капюшон съемный, подклад флисовый. Материал: soft Shell. Нанесение: вышивка (спереди и сзади). Карманы: 2 отсека для ручек, внутренний  карман для рации и боковые карманы.",FALSE,FALSE
9,Жилетка,Жилетка для склада,XL,1,33000,https://i.ibb.co/5xg991rg/image.jpg,https://i.ibb.co/3yJTCSWq/image.jpg,,https://i.ibb.co/BV3kmKCd/image.jpg,Серая,"Цвет: серый (графит). Капюшон съемный, подклад флисовый. Материал: soft Shell. Нанесение: вышивка (спереди и сзади). Карманы: 2 отсека для ручек, внутренний  карман для рации и боковые карманы.",FALSE,FALSE
9,Жилетка,Жилетка для склада,3XL,2,33000,https://i.ibb.co/5xg991rg/image.jpg,https://i.ibb.co/3yJTCSWq/image.jpg,,https://i.ibb.co/BV3kmKCd/image.jpg,Серая,"Цвет: серый (графит). Капюшон съемный, подклад флисовый. Материал: soft Shell. Нанесение: вышивка (спереди и сзади). Карманы: 2 отсека для ручек, внутренний  карман для рации и боковые карманы.",FALSE,FALSE
9,Жилетка,Жилетка для склада,4XL,2,33000,https://i.ibb.co/5xg991rg/image.jpg,https://i.ibb.co/3yJTCSWq/image.jpg,,https://i.ibb.co/BV3kmKCd/image.jpg,Серая,"Цвет: серый (графит). Капюшон съемный, подклад флисовый. Материал: soft Shell. Нанесение: вышивка (спереди и сзади). Карманы: 2 отсека для ручек, внутренний  карман для рации и боковые карманы.",FALSE,FALSE
12,Разное,Бумажный стакан с крышкой 350 мл,,200,96,https://i.ibb.co.com/s9PTtmnc/57.png,,,,Синяя,Бумажный стакан 350 мл. Двухслойный.,FALSE,FALSE
14,Жилетка,Жилетка премиум (синяя),XL,8,27000,https://i.ibb.co/LXSqyfbZ/image.jpg,https://i.ibb.co/VcdSRYgw/image.jpg,https://i.ibb.co/yBmKtMfc/image.jpg,,Синяя,"Жилетка премиум (синяя) для менеджеров. Капюшон: съемный. Наполнение: синтепух. Карманы: внутренний и боковые карманы. Цвет: синий. Нанесение (спереди и сзади): вышивка (плотная). Материал: Ткань, плащевка , влагостойкий, 50% полиэстер, 50% холлофайбер  (цвет синий).",FALSE,FALSE
14,Жилетка,Жилетка премиум (синяя),2XL,4,27000,https://i.ibb.co/LXSqyfbZ/image.jpg,https://i.ibb.co/VcdSRYgw/image.jpg,https://i.ibb.co/yBmKtMfc/image.jpg,,Синяя,"Жилетка премиум (синяя) для менеджеров. Капюшон: съемный. Наполнение: синтепух. Карманы: внутренний и боковые карманы. Цвет: синий. Нанесение (спереди и сзади): вышивка (плотная). Материал: Ткань, плащевка , влагостойкий, 50% полиэстер, 50% холлофайбер  (цвет синий).",FALSE,FALSE
